Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount
22,2.260644,0.820591,2.121944,2.274375,3.805729,-0.414344,-0.473129,-2.344485,-1.159194,-2.434457,2.945466,0.744974,1.750937,2.804672,1.344749,3.362404,3.855424,-4.054317,2.053611,4.25577,1.430558,-4.410007,2.506305,0.174191,3.349331,4.886267,4.879903,1.938449,255.89
23,-0.869214,3.766273,-0.594916,-0.879107,-0.957343,0.977199,-2.946489,-1.177124,0.214565,4.072632,4.800602,1.076394,-3.256928,-0.948363,1.16074,1.622178,-4.462163,-4.653233,4.90028,3.215137,1.70705,1.977224,-4.165053,1.127637,4.405983,-2.317247,-1.445652,-4.352103,113.86
24,-1.86584,1.643866,-4.494176,-0.025043,4.373293,-1.41715,1.39517,-3.256629,-1.21337,1.1057,-3.423935,-1.285857,-1.933389,-4.903502,-2.805304,2.489918,3.215453,2.11985,-4.997446,-0.319559,-0.228524,-3.95088,-4.815243,-3.111018,-3.890299,-0.138735,3.679934,3.450866,361.96
25,0.181156,-3.573089,-0.760574,-3.259069,-1.577999,4.324204,-1.511389,-4.395448,-3.925358,2.635565,-0.003186,2.878688,-0.147259,-3.998113,-0.367808,0.717641,2.912658,3.217765,2.240228,3.742079,-2.774702,-4.08897,0.222661,0.107969,-3.426054,2.038314,3.013219,1.746263,446.12
26,-1.982566,1.194094,2.937135,0.40307,1.818588,-4.46963,-0.670993,-3.64267,1.906052,-3.121232,4.016492,-2.223056,-4.356473,-1.475265,-0.172313,-2.748935,-2.872637,-2.495695,-4.05249,4.144048,-0.0573,-0.61161,4.452389,4.145716,-1.212892,-3.649982,-4.570185,-1.673274,94.03
27,-4.958313,-1.363861,-1.749456,-3.05909,-4.140872,4.319843,-2.365297,-0.04841,-1.664883,0.502134,3.710135,-3.166376,-4.723122,0.996873,-1.401252,2.112067,-4.339881,-4.362284,-3.177265,2.840626,3.808034,1.173082,0.320433,-0.130898,-3.236907,-0.464318,2.189284,-2.599721,190.65
28,2.191617,4.145576,3.602613,-4.709418,2.239854,-3.11903,3.069942,-1.145166,-0.227885,0.774214,-1.113397,4.228679,-2.1463,-0.111492,-4.174847,-3.650918,-3.882144,-0.805768,0.445092,1.966108,-0.025038,-3.636393,1.41473,1.818973,-2.247205,1.776781,3.435226,4.260286,465.11
29,4.785703,-0.118997,4.802603,1.33411,0.176151,0.63366,-2.799454,-4.446019,-3.743505,-1.875604,-2.56974,3.267006,0.645327,1.139975,1.726068,-0.4493,-2.862674,2.834768,-1.155373,4.739372,0.476964,2.8787,-0.672454,-1.085945,-1.441818,-1.1089,2.577694,-4.130614,160.6
30,2.966468,3.768828,0.841052,-2.131284,0.554476,1.028283,-0.80569,4.443311,-3.82626,0.55681,3.959279,-4.950133,2.733688,-3.546112,-4.152743,0.441796,3.992567,-0.700714,4.398928,3.192583,-4.558641,-2.583955,-2.623129,1.461033,2.599946,1.939365,-4.120687,1.238028,135.64
31,-1.515913,0.067924,-3.655384,3.53838,-3.94244,-3.734195,-2.873387,-4.16861,-0.891576,-1.756016,-4.162207,-0.121186,-3.602141,-0.596559,1.989241,0.20906,4.298989,-4.328825,-3.383591,-4.202795,2.617663,-2.387509,-3.453809,0.424355,-4.149905,-4.62932,-4.472519,-0.400562,42.53
32,2.561043,1.077821,-3.263088,0.350159,-0.212175,1.995131,-1.079842,0.270048,-0.019028,-1.939658,4.603718,-0.95129,4.954096,-1.627642,1.636471,2.487585,2.978533,-4.304528,0.655744,3.854568,-3.890185,-2.062964,-0.267768,0.679721,2.97093,1.305466,3.211054,2.15152,188.36
33,-3.918939,3.500939,2.326974,-1.873132,0.441546,-3.305774,-2.404141,0.389904,3.811604,3.043325,-1.065982,-1.106017,-1.222349,-1.38667,1.194652,2.622156,-0.312254,4.859795,-2.57711,1.881706,-3.632729,-3.864989,-1.270292,-4.068501,0.175439,0.999526,0.019872,3.567763,343.57
34,0.276884,-0.44157,3.173512,-4.273403,-2.493015,-0.795165,-1.47229,3.161328,-2.474362,2.067003,2.439999,-1.45919,-2.952111,0.556702,2.812232,-4.885651,0.671518,-3.185359,3.22525,-1.916239,-1.322389,4.816799,-1.545859,-0.578774,2.365419,-1.749903,-1.598128,-4.066334,450.52
35,-2.370738,3.727743,2.440907,4.813196,4.324775,0.155276,-0.624802,4.86013,-2.527242,3.090177,-4.289564,3.608571,-3.579525,4.298351,1.554541,0.875826,-1.780848,-3.450571,-3.127154,3.615418,-3.432612,-2.978379,-2.003754,0.146987,-3.626845,0.21938,-3.940867,-1.200541,114.42
36,-0.715372,2.008341,2.775313,-3.03444,-4.037988,2.291445,-2.667471,0.812409,-2.922287,-4.937414,0.526548,0.564045,-3.909128,-2.447246,0.034269,-2.144702,-2.801161,0.015661,1.870751,-4.248715,4.655614,4.306135,-4.714003,2.453262,1.213417,-2.392352,-0.0197,4.741031,71.43
37,3.563638,-2.585438,0.928661,0.724303,-0.420745,-1.326619,-3.21151,-4.732457,3.833929,-2.822733,0.38206,3.351617,0.987665,-1.66571,-0.505585,-2.417471,1.06229,-3.411799,-2.403266,1.293519,-3.901421,-3.227788,0.755696,-1.000851,-3.800575,3.8864,-1.211733,4.630881,184.32
38,-4.007671,4.243252,-1.061661,-1.804898,-2.633294,-0.818909,-0.550868,1.043922,-1.60883,-0.607866,-0.056422,2.10764,-0.086983,-3.324858,-2.360011,-1.976425,-4.389409,2.649891,0.095522,1.266144,2.187018,0.673572,-4.89876,-3.328755,3.643443,2.261111,-1.405036,-2.106954,479.14
39,4.494735,-2.268761,2.415515,2.845117,0.616864,1.29605,2.925906,-1.992545,3.788547,0.967368,-2.794322,-3.806374,0.915691,4.980558,-4.279813,4.747133,3.590805,-2.413484,3.593933,-4.209068,-1.43333,2.017605,-4.880531,1.177932,-4.294427,-0.905331,3.548758,3.021107,453.42
40,4.082104,1.088463,-0.548728,-3.85005,-2.757991,-1.201122,-3.166982,-0.147293,-1.351489,1.365635,4.081113,-0.871613,4.545809,1.125877,-1.910994,-3.744871,-4.016083,-0.946098,-4.245296,1.545028,3.410859,1.314173,-3.676495,-1.688992,-3.481582,-2.682262,-3.028187,0.965413,325.42
41,0.715511,-4.318893,3.52939,4.96835,-0.91433,3.700264,-3.39677,-4.4137,-4.395756,-2.604617,-4.697598,-0.509352,-0.576464,4.778832,0.807815,-4.530359,-0.441849,-4.285381,-0.540478,-2.812724,1.805229,-1.904903,-0.765105,-3.940029,-3.964263,3.337544,2.630307,4.261375,246.62
42,-1.813348,2.935328,-3.497384,-0.302585,4.480152,-1.737715,0.59159,-0.918492,2.691326,-1.29468,-2.737797,-2.123859,0.631143,3.752838,-0.596587,0.373615,4.428469,4.696011,-0.508457,-2.216329,-2.262197,3.599907,-4.592619,1.029341,-3.637958,0.782106,4.299178,2.886813,161.46
43,-2.207122,4.59532,4.02518,-0.838138,0.759812,3.621525,-2.508235,-4.703137,2.361104,1.996246,-0.795872,4.337006,2.618583,3.818417,-3.110328,-0.253619,-2.128374,-1.670622,-3.116812,0.563367,-4.21184,-0.923285,3.880197,-0.134715,1.721162,-1.117112,1.787177,2.233873,131.04
44,0.140356,-3.019781,3.695261,2.731301,0.056149,-1.241456,-3.681256,-4.686555,2.241576,-1.609422,-4.098494,-1.983464,-1.912734,-3.396432,-0.797959,2.272414,3.732139,4.24695,-0.331088,-0.28536,-1.9858,2.665659,-1.309757,4.655128,-4.397768,-3.27217,-4.617785,4.04086,95.13
45,-4.954777,3.85533,1.754046,1.408733,-0.973115,1.8897,4.195876,-3.299133,0.761176,3.391951,1.922205,4.38132,2.567879,3.194328,0.342435,0.925606,-3.843889,-0.515541,-0.857247,-0.456827,2.263707,-0.094825,4.819942,0.835839,4.217162,3.954633,4.146827,1.054245,90.58
46,-1.554984,2.474786,0.902872,-2.46259,-4.343496,-2.681095,4.995898,3.458859,0.698726,3.787368,3.015381,-1.33241,-0.825185,-3.322534,-4.19233,2.520108,-4.768162,4.611564,2.649058,1.997175,3.182987,-4.83131,-0.730134,2.458681,-4.240819,-3.804999,4.26418,0.239556,17.07
47,-0.507255,-3.096303,3.574019,1.716411,1.259526,2.949904,0.513011,1.616913,-3.974609,3.037985,-2.798134,4.621999,-0.865025,-1.43739,1.188599,-4.287393,-1.574962,1.357948,-3.562314,3.798532,1.501973,0.459081,-3.634667,-3.780297,-2.269736,1.81957,-2.915747,3.140155,418.11
48,-4.956055,4.390951,1.633391,-3.438606,4.979336,2.862305,-1.279459,-1.18427,4.126247,-0.214417,-1.917602,-4.504387,0.679594,-4.091565,-0.059116,-4.801651,0.619005,-2.621864,0.456605,3.962375,-3.646817,-1.565739,3.98985,1.271585,-2.586875,-4.762332,3.31128,-4.668177,463.1
49,-4.889513,-3.082737,-4.500171,-0.686621,4.895679,1.324116,1.69456,4.311724,3.473439,-3.443905,4.135689,-4.227347,2.082698,-3.483571,2.264106,-4.671877,-1.066922,-4.20505,2.071197,-1.74678,-2.926134,0.979575,-0.063385,1.607066,4.144282,4.158588,4.332872,1.874598,478.02
50,1.17898,-1.622947,1.694945,-2.338504,2.040994,-2.820947,-1.979071,0.695988,-2.643078,-2.262105,2.247056,-2.655851,3.305214,-0.384941,1.084405,3.306204,4.556475,-2.119323,4.257376,-4.304132,-3.914802,2.477943,-2.687214,4.643386,-2.435455,3.676736,4.862746,3.333503,8.59
51,0.833032,-3.689763,-1.878032,2.024417,-3.961776,-1.931571,4.651946,-1.502362,2.9356,-4.071157,-2.145718,0.392271,0.720704,-0.882817,-0.571836,0.79055,3.593481,2.939576,1.572718,3.323805,1.303088,1.393904,-4.60223,-2.773765,-4.625243,3.894545,0.403721,-1.941958,200.31
52,-2.802103,-1.16712,-4.857899,-0.559215,3.789404,3.939536,-4.569799,-2.017078,-1.984298,-2.484522,-3.017085,-1.172999,-3.093786,-2.996198,2.174027,1.468761,2.293266,-4.105916,-3.757082,-0.713237,0.150657,-2.457496,-3.680155,4.806873,-1.968365,0.644758,1.445972,-2.067034,96.61
53,2.726179,0.589023,-2.034806,-0.088346,3.09105,-2.055094,1.539786,3.384757,4.105928,-3.938509,-0.761343,0.674955,-4.578677,1.913207,-3.010713,2.868924,1.226804,-3.571031,-2.767303,2.733509,2.749417,-1.738523,3.004571,-1.041652,-1.898283,3.408159,2.997102,-0.372585,337.42
54,1.952162,4.717152,-2.123389,4.463794,4.06542,-1.736762,0.183344,-3.154829,-2.206226,-4.960187,1.381452,-4.852877,-2.950824,-3.961718,-1.200719,2.819441,-0.832061,-1.561511,-3.760382,2.432846,-3.775394,-2.388301,-0.361497,-1.924498,-4.088354,4.164478,-0.066792,1.186391,104.79
55,4.912346,2.308105,-2.027596,-4.449596,0.703665,1.060735,-1.76395,-3.002907,-3.371258,0.346946,0.601812,-0.949817,-1.130947,-4.962187,-2.399018,-3.119966,-0.912677,4.967316,-1.940188,-3.624552,0.088152,-3.85252,-2.584774,2.843619,-2.541256,-3.055968,-4.062468,-0.784103,108.41
56,-0.174351,-2.31345,0.673788,4.392188,4.800722,-0.778901,1.110824,3.655783,1.512576,-2.654064,-2.102925,-2.854203,2.533384,-4.687049,3.887639,-0.661142,-0.761264,-1.866036,-4.5112,-4.367202,-1.303931,-0.800761,1.080451,-1.426919,2.316604,2.363484,1.432003,0.448285,436.1
57,2.302603,-0.760788,-3.298312,-2.284877,2.782973,1.749187,2.844226,1.888501,4.7045,-0.514496,0.518561,3.059158,2.65712,-4.460823,0.338179,-1.746425,2.903211,3.335566,4.426647,2.842732,-0.668788,-4.708886,1.037085,-2.423631,-0.061983,-1.114045,-1.454678,-0.349485,315.79
58,-4.856273,4.137321,1.690614,-4.777706,1.123672,3.441712,1.594583,4.293154,-0.49853,-3.736879,-2.041149,3.211846,-1.236283,0.022948,4.397953,2.95788,3.875648,-0.993898,-2.962085,1.868216,1.192415,4.453531,1.042653,-3.47742,3.994023,3.214746,-2.620426,2.138495,73.39
59,1.201222,-0.976768,-1.711757,0.480817,-2.108978,-2.494983,1.471941,3.090936,-3.464522,-1.865882,3.844697,-3.648034,4.896721,-4.225753,1.89804,3.239725,0.692643,2.426945,1.613293,4.671772,3.752207,-4.203155,0.522965,-0.071239,3.872188,1.092054,-3.309216,-2.728234,157.62
60,4.946971,-0.930332,-0.16698,1.299526,-3.032298,4.834043,-0.310637,-0.554614,-3.603759,-4.359337,-1.354665,-4.696594,-0.216706,-0.900933,-4.122488,1.725589,-2.111238,-3.606483,2.477827,-0.94894,3.928177,4.444719,-3.444325,3.864703,-2.41925,-2.051175,-2.945256,3.555696,52.8
61,2.803339,-0.571032,0.151883,-1.742219,-2.223963,-0.925351,3.783505,-1.811898,3.842329,-4.014975,-2.895883,-3.659581,-1.684771,0.432634,-0.869409,2.793969,-1.713828,2.771127,-3.021938,1.020217,-0.753681,0.173867,-2.348896,1.126028,1.484803,-0.708764,-1.155592,-3.118173,486.98
62,3.683844,3.782634,2.277461,3.278035,-2.678504,-2.65926,-3.570729,-1.02961,3.607678,-4.201281,1.264652,1.012112,-2.315203,3.826852,-1.645695,1.786708,0.823134,2.544246,4.318771,2.266262,-1.25873,1.724154,0.251251,-3.622169,-0.642734,-4.752125,0.504501,-0.912666,345.86
63,1.148696,1.427181,1.284502,-0.460782,-3.239673,-1.834553,-3.514621,-2.068089,2.576122,3.323483,-2.449745,2.19435,0.894708,-0.567324,4.533813,-4.169123,2.046944,-0.954498,1.718743,-4.391383,-2.144059,1.291219,2.634778,3.548106,-4.65416,-3.150132,1.936142,4.586221,174.13
64,3.221392,0.226994,-0.720429,-2.031777,3.590201,1.273101,3.761981,-1.492723,-1.459333,4.520504,-1.445808,-3.418737,1.711244,4.278688,-0.509473,2.763255,-3.849044,2.279746,4.690524,-4.341329,-3.423213,0.520702,-0.018848,-3.79484,-3.197831,3.969937,-2.943247,0.773999,178.77
65,-1.644221,0.563541,-4.688334,-3.228954,3.561593,4.602546,-0.161077,-4.205886,0.929832,-2.71629,1.977066,3.46255,3.522724,-1.47435,-2.87298,-4.414566,-1.743681,0.981838,1.138823,1.349117,-3.030808,3.742559,-4.785679,1.96234,1.809247,1.142698,0.644263,-1.915197,330.63
66,3.677954,-1.170654,4.726255,1.499775,-4.914584,1.703246,-0.499009,-0.018624,-4.304585,0.652776,3.206277,0.864144,1.612861,4.258176,1.431585,0.021633,3.091457,1.157567,2.93456,-2.240097,0.358494,-2.473237,-3.712655,0.38594,4.019321,-0.574155,1.257286,-1.336255,382.39
67,4.19899,-4.454064,-0.378953,-4.70233,-4.886996,4.321834,2.100627,-2.665711,3.65868,-1.411708,-3.13295,4.744948,-0.333157,1.422451,2.768277,-0.155843,-3.095207,-2.738192,-4.378093,-2.040115,2.496785,0.61561,3.711781,2.836993,-0.277417,-2.423081,-2.782403,4.360935,404.98
68,2.502956,3.954295,-1.740443,-1.283975,2.911706,4.139732,4.26052,-4.932563,-0.909199,-3.759416,0.878893,2.237016,-2.303739,4.752431,2.343349,-1.806779,2.268575,3.815437,-4.43736,-3.299039,-4.832775,-3.947354,3.138902,0.208705,-2.758475,3.796805,-1.298268,-2.356713,75.26
69,3.718181,3.841375,0.196367,3.364808,-3.338939,0.220289,-2.482388,2.706972,-0.766772,-4.019791,-1.822853,-0.471035,1.546974,4.690811,1.480925,-4.563127,0.168433,-1.005339,-0.063049,4.611779,2.780275,-0.557392,-3.338261,2.176034,-1.522118,3.303228,-1.115208,-1.378917,54.59
70,2.694222,-3.096711,3.458094,-4.104889,-0.448096,2.108969,3.754054,-2.98799,-2.809131,0.270578,-0.792383,3.168345,-4.566326,1.29449,-3.541132,4.852123,-3.372204,-2.143174,-4.81132,2.153523,4.07125,-0.28435,4.515964,2.87232,2.982902,4.404952,-2.590837,4.509059,457.67
71,-0.428343,-3.261497,2.471281,-2.230905,1.075987,-4.041471,1.90281,3.412386,2.573364,4.611691,-3.298897,-1.972575,0.836667,-0.542768,-3.781529,0.792348,-2.24713,-1.056075,0.898041,-2.156278,-2.051902,4.525411,2.048953,3.859113,2.584571,-2.187097,4.504611,4.780878,304.44
72,-0.901339,0.632324,-0.622183,-3.213718,1.312462,-2.66343,2.734193,4.833338,0.177792,0.180461,-0.401784,0.424861,-1.082583,-0.19177,0.377049,0.898424,-4.895769,0.172135,1.969961,-4.220315,-4.421776,2.27833,-4.274335,-2.558732,1.354169,3.855293,-2.214308,-0.451367,445.37
73,0.766111,1.350318,4.839755,2.592671,-3.253376,3.190626,3.408648,-4.677068,-0.005524,-2.457971,2.847462,-3.221753,0.242693,3.089852,-2.805978,1.357188,1.705957,-3.699638,-0.006855,-3.501487,-4.362081,-3.51651,-4.528595,-3.360914,0.546228,-2.880941,4.382974,2.610346,84.49
74,-4.505774,2.269975,1.49801,-3.306424,4.358127,2.639266,0.376722,-0.915324,-0.624799,-1.667766,4.677813,1.225341,-1.394647,0.066502,-1.485199,-1.730608,0.922987,-2.269267,2.838576,1.234688,-3.201922,1.534247,-1.833675,4.771467,1.531047,1.731779,1.224495,4.55322,365.98
75,3.401866,3.597419,-0.974294,1.378722,-0.030267,2.384033,-0.869973,-4.022768,1.937061,-2.329891,-1.532732,1.36889,2.82036,-4.896615,-0.801261,1.113075,-2.999304,4.541273,-3.03483,4.976753,1.725008,-1.824094,4.894149,-2.90079,-3.794176,1.202397,4.931178,3.162445,439.85
76,-2.153506,-4.603106,-2.620249,3.765128,-3.155787,1.82728,2.098014,1.99542,-1.279175,-0.245465,3.073828,-4.530117,4.719586,-4.05847,4.919611,-0.848287,4.738781,-0.307354,1.88406,2.177628,0.102512,-0.640268,1.88452,-0.198279,2.355263,2.304128,-4.738227,2.415952,329.29
77,2.33605,-1.422918,3.672076,4.735024,4.947709,-1.099321,0.305855,4.364863,0.477149,2.006766,-0.566198,4.635664,1.05676,-4.731225,-0.071312,-4.920726,4.772733,1.180549,-2.850613,3.800469,4.417266,4.038016,-3.768454,-1.542234,3.871158,1.899787,1.563455,1.760518,121.3
78,4.139989,-4.794218,0.539925,-4.096068,-1.441475,2.774524,4.034778,-1.44134,3.489023,3.650004,-1.82283,-0.226278,1.075167,-0.947756,-0.027218,3.939683,-1.557504,0.333243,-1.04641,4.185354,-0.054203,4.029166,2.767682,-1.299439,-2.589284,3.874946,1.521258,-1.746997,91.57
79,-1.661384,-3.077482,-4.045808,3.585207,-2.055925,-1.640345,2.857784,3.976215,-1.186948,-0.605941,1.054919,-3.836936,-4.890614,4.683538,4.558684,1.704615,0.288811,-0.190413,-1.324099,3.999561,0.041433,-2.115488,-2.278795,-2.40614,4.592373,2.054383,-0.385239,-2.992193,409.34
80,-0.564375,0.76409,-1.656762,-3.400885,-1.132055,-4.184624,-1.580839,-0.180869,3.974043,1.15209,-1.439014,-2.084255,-4.022967,1.986415,3.415698,-2.845593,-0.859745,-1.425135,-4.86111,3.544745,-3.283645,3.338248,-3.214032,2.003543,-0.934252,3.296338,0.453612,-0.115794,211.5
81,4.459984,0.1044,-4.877076,4.802218,-2.06596,1.875693,-3.158044,3.318605,-3.811216,-0.67965,3.786738,0.192426,-1.076389,4.615889,0.158543,-2.899768,4.187431,-0.287391,-1.694816,0.436792,4.789202,2.352261,-2.431211,-4.187,-1.123355,-1.218991,1.266005,2.630237,52.12
82,2.944314,-2.379354,-1.34157,-4.007317,-1.403861,1.572491,3.406693,-3.125669,4.095522,4.585337,-4.322079,4.938932,0.767693,-2.010793,3.805713,1.95884,-2.106071,-2.385668,1.226288,-4.929948,-4.317178,4.77828,-1.458052,1.208045,4.173968,-3.996609,-3.446399,-3.14,395.15
83,-0.832572,1.97821,-1.622227,-4.518082,4.371244,-0.539948,-2.893294,-4.581566,-1.863139,0.013593,1.306184,-3.675388,-2.824136,0.697866,0.750995,-4.881238,1.109975,-2.143198,-4.542124,-3.662312,-4.275661,2.094227,-4.661891,1.136407,2.054046,3.032767,-0.78953,-3.768403,290.36
84,1.519297,1.19298,1.671158,2.633868,2.94657,1.171246,3.936205,0.75817,-1.586986,3.452151,-1.059919,3.771073,-4.870863,4.130196,0.799299,1.003914,4.753316,-1.118034,0.335713,-0.295738,-0.106079,2.959182,4.19735,4.564075,-3.628251,1.686302,3.54614,-3.443886,243.87
85,-4.844718,4.120881,2.010985,3.527358,3.817463,-0.099917,-1.241229,-0.761082,3.036227,-4.613808,-1.788925,-4.741134,-1.264315,-3.785367,-0.142817,1.144374,-4.492335,-4.102106,4.607553,-1.704005,0.178845,-3.042349,-1.657822,-1.978433,-3.617536,-2.552036,1.278463,0.426911,430.01
